term,valence,arousal,dominance
a-battery,0.55,0.35,0.45
a-bit,0.45,0.35,0.4
a-bunch,0.55,0.35,0.45
a-cappella,0.55,0.45,0.4
a-couple,0.65,0.45,0.55
a-drive,0.55,0.55,0.55
a-few,0.45,0.35,0.4
a-further,0.4,0.45,0.45
a-getaway,0.6,0.55,0.5
a-go,0.5,0.55,0.5
a-goner,0.4,0.45,0.35
a-good,0.85,0.4,0.7
a-handful,0.5,0.55,0.45
a-heel,0.5,0.45,0.45
a-kickback,0.2,0.55,0.45
a-little,0.55,0.3,0.3
a-lot,0.55,0.45,0.65
a-mere,0.35,0.4,0.45
a-must,0.5,0.35,0.55
a-no-brainer,0.35,0.5,0.4
a-one,0.6,0.4,0.5
a-pair,0.6,0.4,0.4
a-peach,0.7,0.35,0.45
a-pleasure,0.75,0.45,0.55
a-plus,0.7,0.5,0.55
a-priori,0.45,0.4,0.5
a-roll,0.55,0.5,0.5
a-sec,0.35,0.4,0.3
a-shame,0.2,0.45,0.4
a-single,0.45,0.45,0.3
a-smokescreen,0.2,0.65,0.3
a-sport,0.7,0.65,0.55
a-stretch,0.55,0.5,0.6
a-student,0.7,0.4,0.55
a-to-do,0.45,0.55,0.4
a-ton,0.6,0.45,0.55
a-touch,0.6,0.45,0.5
a-treat,0.75,0.4,0.55
a-while,0.5,0.4,0.45
aaaaaaah,0.5,0.6,0.3
aaaah,0.5,0.65,0.3
aardvark,0.45,0.5,0.45
aback,0.4,0.4,0.3
abacus,0.5,0.25,0.5
abalone,0.5,0.5,0.4
abandon,0.05,0.5,0.2
abandoned,0.05,0.5,0.15
abandoner,0.15,0.85,0.15
abandonment,0.15,0.45,0.2
abase,0.0,0.8,0.0
abased,0.0,0.15,0.05
abasement,0.0,0.35,0.0
abash,0.15,0.15,0.1
abashed,0.15,0.65,0.3
abashedly,0.15,0.2,0.0
abashment,0.1,0.25,0.1
abatable,0.75,0.2,0.5
abate,0.25,0.7,0.6
abatement,0.4,0.35,0.35
abba,0.55,0.5,0.5
abbey,0.6,0.35,0.45
abbot,0.45,0.3,0.5
abbreviate,0.55,0.4,0.35
abbreviated,0.5,0.5,0.5
abbreviation,0.45,0.3,0.35
abbreviator,0.5,0.8,0.7
abdicate,0.15,0.15,0.05
abdication,0.2,0.2,0.15
abdicator,0.15,0.2,0.05
abdomen,0.45,0.45,0.45
abdominal,0.5,0.45,0.45
abdominally,0.5,0.25,0.35
abduct,0.15,0.7,0.6
abducted,0.05,0.85,0.2
abductee,0.15,0.8,0.0
abduction,0.05,0.95,0.35
abductor,0.0,0.85,0.9
aberrant,0.15,0.75,0.45
aberration,0.1,0.8,0.4
aberrational,0.15,0.75,0.3
abet,0.35,0.85,0.85
abeyance,0.35,0.5,0.3
abhor,0.1,0.6,0.35
abhorrence,0.15,0.7,0.4
abhorrent,0.25,0.75,0.45
abhorrently,0.0,0.45,0.55
abhorring,0.0,0.85,0.9
abide,0.65,0.35,0.7
abide-by,0.45,0.45,0.3
abider,0.85,0.15,0.5
abiding,0.8,0.35,0.75
abilities,1.0,0.55,0.85
ability,0.9,0.5,0.8
abiotic,0.5,0.15,0.5
abject,0.35,0.6,0.4
abjection,0.0,0.15,0.05
abjectly,0.0,0.25,0.1
abjectness,0.0,0.1,0.0
abjudicate,0.5,0.8,1.0
ablation,0.4,0.5,0.5
ablaze,0.2,0.9,0.55
able,0.8,0.5,0.8
able-bodied,0.55,0.45,0.5
abloom,0.95,0.4,0.45
ably,0.85,0.85,0.9
abnormal,0.15,0.6,0.3
abnormality,0.1,0.65,0.4
abnormally,0.15,0.5,0.35
abnormity,0.15,0.35,0.3
aboard,0.7,0.3,0.5
abode,0.6,0.3,0.5
abolish,0.45,0.6,0.55
abolishable,0.35,0.15,0.5
abolisher,0.15,0.85,0.95
abolishment,0.35,0.15,0.8
abolition,0.35,0.7,0.55
abolitionary,0.85,0.7,0.75
abolitionism,0.9,0.85,0.9
abolitionist,1.0,0.85,0.95
abominable,0.1,0.75,0.5
abominableness,0.0,0.15,0.2
abominably,0.0,0.2,0.2
abominate,0.2,0.8,0.35
abomination,0.1,0.75,0.5
abominator,0.0,0.75,0.85
aboriginal,0.45,0.45,0.55
aboriginality,0.5,0.2,0.55
aborigine,0.5,0.5,0.3
abort,0.15,0.7,0.45
abortion,0.1,0.75,0.3
abortionist,0.15,0.8,1.0
abortive,0.1,0.8,0.3
abortively,0.15,0.85,0.1
abound,0.7,0.5,0.7
about,0.5,0.5,0.5
about-face,0.35,0.45,0.5
about-time,0.65,0.5,0.45
about-to,0.45,0.4,0.4
above,0.65,0.35,0.55
