term,valence,arousal,dominance
a-battery,0.56,0.34,0.44
a-bit,0.44,0.36,0.4
a-bunch,0.54,0.32,0.46
a-cappella,0.56,0.44,0.4
a-couple,0.64,0.44,0.54
a-drive,0.56,0.56,0.52
a-few,0.42,0.32,0.42
a-further,0.4,0.42,0.44
a-getaway,0.6,0.54,0.48
a-go,0.5,0.54,0.48
a-goner,0.38,0.42,0.32
a-good,0.84,0.42,0.7
a-handful,0.5,0.56,0.44
a-heel,0.5,0.46,0.42
a-kickback,0.2,0.52,0.42
a-little,0.54,0.3,0.32
a-lot,0.54,0.46,0.66
a-mere,0.34,0.38,0.46
a-must,0.5,0.36,0.56
a-no-brainer,0.36,0.52,0.38
a-one,0.58,0.4,0.48
a-pair,0.6,0.38,0.4
a-peach,0.68,0.36,0.42
a-pleasure,0.72,0.42,0.54
a-plus,0.7,0.5,0.56
a-priori,0.42,0.4,0.48
a-roll,0.56,0.48,0.5
a-sec,0.34,0.38,0.32
a-shame,0.18,0.46,0.4
a-single,0.44,0.42,0.3
a-smokescreen,0.22,0.62,0.3
a-sport,0.68,0.64,0.56
a-stretch,0.56,0.48,0.62
a-student,0.7,0.4,0.52
a-to-do,0.44,0.52,0.4
a-ton,0.6,0.46,0.56
a-touch,0.58,0.46,0.48
a-treat,0.76,0.4,0.56
a-while,0.5,0.38,0.46
aaaaaaah,0.48,0.6,0.28
aaaah,0.52,0.64,0.28
aardvark,0.42,0.48,0.42
aback,0.38,0.4,0.28
abacus,0.5,0.26,0.48
abalone,0.5,0.48,0.4
abandon,0.04,0.52,0.2
abandoned,0.04,0.48,0.12
abandoner,0.16,0.84,0.14
abandonment,0.12,0.42,0.2
abase,0.0,0.78,0.02
abased,0.0,0.16,0.04
abasement,0.0,0.32,0.02
abash,0.16,0.16,0.08
abashed,0.16,0.64,0.3
abashedly,0.16,0.18,0.02
abashment,0.08,0.24,0.1
abatable,0.74,0.2,0.5
abate,0.26,0.7,0.6
abatement,0.38,0.34,0.32
abba,0.56,0.5,0.48
abbey,0.58,0.36,0.44
abbot,0.42,0.32,0.48
abbreviate,0.52,0.38,0.32
abbreviated,0.5,0.5,0.5
abbreviation,0.46,0.3,0.34
abbreviator,0.5,0.78,0.68
abdicate,0.16,0.16,0.04
abdication,0.18,0.18,0.14
abdicator,0.16,0.18,0.04
abdomen,0.46,0.46,0.46
abdominal,0.48,0.46,0.44
abdominally,0.5,0.24,0.36
abduct,0.16,0.72,0.62
abducted,0.04,0.84,0.22
abductee,0.14,0.8,0.02
abduction,0.06,0.96,0.36
abductor,0.0,0.84,0.9
aberrant,0.14,0.76,0.42
aberration,0.12,0.82,0.4
aberrational,0.16,0.74,0.3
abet,0.32,0.84,0.86
abeyance,0.32,0.5,0.28
abhor,0.12,0.6,0.34
abhorrence,0.16,0.68,0.42
abhorrent,0.22,0.74,0.46
abhorrently,0.0,0.46,0.54
abhorring,0.0,0.84,0.9
abide,0.64,0.36,0.7
abide-by,0.42,0.46,0.28
abider,0.84,0.16,0.52
abiding,0.78,0.32,0.74
abilities,1.0,0.52,0.84
ability,0.88,0.5,0.78
abiotic,0.48,0.16,0.5
abject,0.36,0.58,0.4
abjection,0.0,0.16,0.02
abjectly,0.02,0.26,0.1
abjectness,0.0,0.12,0.0
abjudicate,0.5,0.78,0.98
ablation,0.42,0.5,0.5
ablaze,0.2,0.92,0.52
able,0.78,0.5,0.8
able-bodied,0.56,0.46,0.52
abloom,0.96,0.4,0.46
ably,0.84,0.84,0.88
abnormal,0.14,0.6,0.3
abnormality,0.08,0.64,0.38
abnormally,0.16,0.52,0.34
abnormity,0.16,0.36,0.28
aboard,0.7,0.28,0.48
abode,0.62,0.3,0.5
abolish,0.44,0.62,0.52
abolishable,0.36,0.16,0.5
abolisher,0.16,0.84,0.96
abolishment,0.36,0.16,0.8
abolition,0.32,0.68,0.52
abolitionary,0.84,0.72,0.72
abolitionism,0.88,0.84,0.88
abolitionist,0.98,0.84,0.96
abominable,0.12,0.72,0.48
abominableness,0.0,0.16,0.2
abominably,0.0,0.2,0.2
abominate,0.2,0.78,0.36
abomination,0.08,0.76,0.52
